Region,Address,UnitNo,PostalCode,Lat,Long,,,
Central,"POSB BANDA5 BANDA STREET",,050005,1.281201,103.843403,,,
Central,"POSB BEAUTY WORLD CENTRE144 UPPER BUKIT TIMAH ROAD",,588177,1.34234,103.776131,,,
Central,"POSB BISHAN BUS INTERCHANGE514 BISHAN STREET 13",,570514,1.350139,103.849757,,,
Central,"POSB BLOCK 108 SPOTTISWOODE108 SPOTTISWOODE PARK ROAD",,080108,1.273589,103.8357319,,,
Central,"POSB BLOCK 160 ANG MO KIO160 ANG MO KIO AVENUE 4 #A1-11",#A1-11,560160,1.374481,103.839239,,,
Central,"POSB BLOCK 18 UPPER BOON KENG 18 UPPER BOON KENG",,380018,1.3147419,103.8719523,,,
Central,"POSB BLOCK 341 ANG MO KIO341 ANG MO KIO AVENUE 1",,560341,1.364171,103.848065,,,
Central,"POSB BLOCK 528 ANG MO KIO528 ANG MO KIO AVENUE 10",,560528,1.372565,103.8549929,,,
Central,"POSB BLOCK 629 ANG MO KIO 629 ANG MO KIO AVENUE 4",,560629,1.3801306,103.8398214,,,
Central,"POSB BRAS BASAH231 BAIN STREET",,180231,1.297105,103.853681,,,
Central,"POSB BUKIT PURMEI112 BUKIT PURMEI",,090112,1.2993594,103.825954,,,
Central,"POSB COMCENTER CAF’_31 EXETER ROAD",,239732,1.2993594,103.8384858,,,
Central,"POSB EVERTON PARK1 EVERTON PARK",,080001,1.277421,103.8400039,,,
Central,"POSB JALAN BUKIT MERAH111 JALAN BUKIT MERAH",,160111,1.2803839,103.8263589,,,
Central,"POSB NGEE ANN CITY391 ORCHARD ROAD",,238872,1.302708,103.8353191,,,
Central,"POSB POTONG PASIR147 POTONG PASIR AVENUE 1 #01-01",#01-01,350147,1.33182,103.867954,,,
Central,"POSB RADIN MAS NPP15 TELOK BLANGAH CRESCENT #01-250",#01-250,090015,1.277135,103.820582,,,
Central,"POSB THE ARCADE11 COLLYER QUAY #02-50",#02-50,049317,1.283529,103.852003,,,
Central,"POSB TOA PAYOH CENTRAL480 TOA PAYOH LORONG 6 #01-164",#01-164,310480,1.332253,103.848538,,,
Central,"QUEENSTOWN PUBLIC LIBRARY53 MARGARET DRIVE",,149297,1.2985325,103.8053743,,,
